ID,longitude,latitude,Z,salinity,date,time,time_value,year,datetime
BL01,105.7217111,9.280444444,,24.00,4/18/2019,3,3:00:00,2019,4/18/2019 3:00
BL01,105.7217111,9.280444444,,25.60,4/18/2019,5,5:00:00,2019,4/18/2019 5:00
BL01,105.7217111,9.280444444,,24.20,4/18/2019,7,7:00:00,2019,4/18/2019 7:00
BL01,105.7217111,9.280444444,,24.30,4/18/2019,9,9:00:00,2019,4/18/2019 9:00
BL01,105.7217111,9.280444444,,19.80,4/18/2019,11,11:00:00,2019,4/18/2019 11:00
BL01,105.7217111,9.280444444,,21.50,4/18/2019,13,13:00:00,2019,4/18/2019 13:00
BL01,105.7217111,9.280444444,,25.50,4/18/2019,15,15:00:00,2019,4/18/2019 15:00
BL01,105.7217111,9.280444444,,27.00,4/18/2019,17,17:00:00,2019,4/18/2019 17:00
BL01,105.7217111,9.280444444,,26.50,4/18/2019,19,19:00:00,2019,4/18/2019 19:00
BL01,105.7217111,9.280444444,,24.60,4/18/2019,21,21:00:00,2019,4/18/2019 21:00
BL01,105.7217111,9.280444444,,23.40,4/18/2019,23,23:00:00,2019,4/18/2019 23:00
BL01,105.7217111,9.280444444,,24.00,4/19/2019,1,1:00:00,2019,4/19/2019 1:00
BL01,105.7217111,9.280444444,,25.10,4/19/2019,3,3:00:00,2019,4/19/2019 3:00
BL01,105.7217111,9.280444444,,27.50,4/19/2019,5,5:00:00,2019,4/19/2019 5:00
BL01,105.7217111,9.280444444,,26.30,4/19/2019,7,7:00:00,2019,4/19/2019 7:00
BL01,105.7217111,9.280444444,,26.40,4/19/2019,9,9:00:00,2019,4/19/2019 9:00
BL01,105.7217111,9.280444444,,24.20,4/19/2019,11,11:00:00,2019,4/19/2019 11:00
BL01,105.7217111,9.280444444,,23.70,4/19/2019,13,13:00:00,2019,4/19/2019 13:00
BL01,105.7217111,9.280444444,,24.90,4/19/2019,15,15:00:00,2019,4/19/2019 15:00
BL01,105.7217111,9.280444444,,27.20,4/19/2019,17,17:00:00,2019,4/19/2019 17:00
BL01,105.7217111,9.280444444,,27.60,4/19/2019,19,19:00:00,2019,4/19/2019 19:00
BL01,105.7217111,9.280444444,,26.40,4/19/2019,21,21:00:00,2019,4/19/2019 21:00
BL01,105.7217111,9.280444444,,24.70,4/19/2019,23,23:00:00,2019,4/19/2019 23:00
BL01,105.7217111,9.280444444,,25.80,4/20/2019,1,1:00:00,2019,4/20/2019 1:00
BL01,105.7217111,9.280444444,,27.10,4/20/2019,3,3:00:00,2019,4/20/2019 3:00
BL01,105.7217111,9.280444444,,28.10,4/20/2019,5,5:00:00,2019,4/20/2019 5:00
BL01,105.7217111,9.280444444,,27.30,4/20/2019,7,7:00:00,2019,4/20/2019 7:00
BL01,105.7217111,9.280444444,,26.10,4/20/2019,9,9:00:00,2019,4/20/2019 9:00
BL01,105.7217111,9.280444444,,24.90,4/20/2019,11,11:00:00,2019,4/20/2019 11:00
BL01,105.7217111,9.280444444,,24.80,4/20/2019,13,13:00:00,2019,4/20/2019 13:00
BL01,105.7217111,9.280444444,,26.50,4/20/2019,15,15:00:00,2019,4/20/2019 15:00
BL01,105.7217111,9.280444444,,27.50,4/20/2019,17,17:00:00,2019,4/20/2019 17:00
BL01,105.7217111,9.280444444,,27.20,4/20/2019,19,19:00:00,2019,4/20/2019 19:00
BL01,105.7217111,9.280444444,,27.20,4/20/2019,21,21:00:00,2019,4/20/2019 21:00
BL01,105.7217111,9.280444444,,25.70,4/20/2019,23,23:00:00,2019,4/20/2019 23:00
BL01,105.7217111,9.280444444,,26.00,4/23/2019,1,1:00:00,2019,4/23/2019 1:00
BL01,105.7217111,9.280444444,,26.20,4/23/2019,3,3:00:00,2019,4/23/2019 3:00
BL01,105.7217111,9.280444444,,26.30,4/23/2019,5,5:00:00,2019,4/23/2019 5:00
BL01,105.7217111,9.280444444,,28.50,4/23/2019,7,7:00:00,2019,4/23/2019 7:00
BL01,105.7217111,9.280444444,,28.40,4/23/2019,9,9:00:00,2019,4/23/2019 9:00
BL01,105.7217111,9.280444444,,27.40,4/23/2019,11,11:00:00,2019,4/23/2019 11:00
BL01,105.7217111,9.280444444,,27.20,4/23/2019,13,13:00:00,2019,4/23/2019 13:00
BL01,105.7217111,9.280444444,,26.30,4/23/2019,15,15:00:00,2019,4/23/2019 15:00
BL01,105.7217111,9.280444444,,27.60,4/23/2019,17,17:00:00,2019,4/23/2019 17:00
BL01,105.7217111,9.280444444,,28.00,4/23/2019,19,19:00:00,2019,4/23/2019 19:00
BL01,105.7217111,9.280444444,,27.30,4/23/2019,21,21:00:00,2019,4/23/2019 21:00
BL01,105.7217111,9.280444444,,26.40,4/23/2019,23,23:00:00,2019,4/23/2019 23:00
BL01,105.7217111,9.280444444,,26.00,4/24/2019,1,1:00:00,2019,4/24/2019 1:00
BL01,105.7217111,9.280444444,,25.70,4/24/2019,3,3:00:00,2019,4/24/2019 3:00
BL01,105.7217111,9.280444444,,25.00,4/24/2019,5,5:00:00,2019,4/24/2019 5:00
BL01,105.7217111,9.280444444,,26.40,4/24/2019,7,7:00:00,2019,4/24/2019 7:00
BL01,105.7217111,9.280444444,,27.60,4/24/2019,9,9:00:00,2019,4/24/2019 9:00
BL01,105.7217111,9.280444444,,27.30,4/24/2019,11,11:00:00,2019,4/24/2019 11:00
BL01,105.7217111,9.280444444,,25.30,4/24/2019,13,13:00:00,2019,4/24/2019 13:00
BL01,105.7217111,9.280444444,,25.40,4/24/2019,15,15:00:00,2019,4/24/2019 15:00
BL01,105.7217111,9.280444444,,26.90,4/24/2019,17,17:00:00,2019,4/24/2019 17:00
BL01,105.7217111,9.280444444,,25.80,4/24/2019,19,19:00:00,2019,4/24/2019 19:00
BL01,105.7217111,9.280444444,,26.90,4/24/2019,21,21:00:00,2019,4/24/2019 21:00
BL01,105.7217111,9.280444444,,25.10,4/24/2019,23,23:00:00,2019,4/24/2019 23:00
BL01,105.7217111,9.280444444,,24.10,4/27/2019,1,1:00:00,2019,4/27/2019 1:00
BL01,105.7217111,9.280444444,,23.40,4/27/2019,3,3:00:00,2019,4/27/2019 3:00
BL01,105.7217111,9.280444444,,21.80,4/27/2019,5,5:00:00,2019,4/27/2019 5:00
BL01,105.7217111,9.280444444,,21.70,4/27/2019,7,7:00:00,2019,4/27/2019 7:00
BL01,105.7217111,9.280444444,,20.60,4/27/2019,9,9:00:00,2019,4/27/2019 9:00
BL01,105.7217111,9.280444444,,21.40,4/27/2019,11,11:00:00,2019,4/27/2019 11:00
BL01,105.7217111,9.280444444,,21.10,4/27/2019,13,13:00:00,2019,4/27/2019 13:00
BL01,105.7217111,9.280444444,,21.50,4/27/2019,15,15:00:00,2019,4/27/2019 15:00
BL01,105.7217111,9.280444444,,20.50,4/27/2019,17,17:00:00,2019,4/27/2019 17:00
BL01,105.7217111,9.280444444,,21.40,4/27/2019,19,19:00:00,2019,4/27/2019 19:00
BL01,105.7217111,9.280444444,,19.80,4/27/2019,21,21:00:00,2019,4/27/2019 21:00
BL01,105.7217111,9.280444444,,19.00,4/27/2019,23,23:00:00,2019,4/27/2019 23:00
BL01,105.7217111,9.280444444,,19.60,4/28/2019,1,1:00:00,2019,4/28/2019 1:00
BL01,105.7217111,9.280444444,,19.90,4/28/2019,3,3:00:00,2019,4/28/2019 3:00
BL01,105.7217111,9.280444444,,20.50,4/28/2019,5,5:00:00,2019,4/28/2019 5:00
BL01,105.7217111,9.280444444,,20.20,4/28/2019,7,7:00:00,2019,4/28/2019 7:00
