ID,longitude,latitude,Z,date,time,datetime,salinity,time_value,year
BL01,"105.7217111","9.280444444",,4/15/2019,"1",,"20.3",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"3",,"20.6",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"5",,"20.8",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"7",,"21.4",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"9",,"19.2",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"11",,"22.4",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"13",,"25.4",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"15",,"25.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"17",,"24",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"19",,"22.1",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"21",,"22.5",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/15/2019,"23",,"22.5",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"1",,"23.1",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"3",,"24",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"5",,"25.6",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"7",,"24.2",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"9",,"24.3",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"11",,"19.8",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"13",,"21.5",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"15",,"25.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"17",,"27",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"19",,"26.5",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"21",,"24.6",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/18/2019,"23",,"23.4",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"1",,"24",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"3",,"25.1",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"5",,"27.5",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"7",,"26.3",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"9",,"26.4",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"11",,"24.2",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"13",,"23.7",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"15",,"24.9",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"17",,"27.2",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"19",,"27.6",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"21",,"26.4",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/19/2019,"23",,"24.7",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"1",,"25.8",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"3",,"27.1",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"5",,"28.1",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"7",,"27.3",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"9",,"26.1",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"11",,"24.9",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"13",,"24.8",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"15",,"26.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"17",,"27.5",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"19",,"27.2",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"21",,"27.2",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/20/2019,"23",,"25.7",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"1",,"26",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"3",,"26.2",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"5",,"26.3",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"7",,"28.5",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"9",,"28.4",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,4/23/2019,"11",,"27.4",11:00:00,"2019"
