track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
"0","0","165",-209.2,2019/12/24 22:40:05+00,,,,,,,,,,,,,,,,,,,,,
"0","0","166",-210.2,2019/12/24 22:40:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","167",-210,2019/12/24 22:40:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","168",-209.2,2019/12/24 22:40:12+00,,,,,,,,,,,,,,,,,,,,,
"0","0","169",-208.2,2019/12/24 22:40:14+00,,,,,,,,,,,,,,,,,,,,,
"0","0","170",-208.4,2019/12/24 22:40:18+00,,,,,,,,,,,,,,,,,,,,,
"0","0","171",-209,2019/12/24 22:40:21+00,,,,,,,,,,,,,,,,,,,,,
"0","0","172",-207.6,2019/12/24 22:40:23+00,,,,,,,,,,,,,,,,,,,,,
"0","0","173",-206.6,2019/12/24 22:40:25+00,,,,,,,,,,,,,,,,,,,,,
"0","0","174",-207.6,2019/12/24 22:40:31+00,,,,,,,,,,,,,,,,,,,,,
"0","0","175",-208.8,2019/12/24 22:40:34+00,,,,,,,,,,,,,,,,,,,,,
"0","0","176",-209.8,2019/12/24 22:40:38+00,,,,,,,,,,,,,,,,,,,,,
"0","0","177",-210,2019/12/24 22:40:42+00,,,,,,,,,,,,,,,,,,,,,
"0","0","178",-209.8,2019/12/24 22:40:43+00,,,,,,,,,,,,,,,,,,,,,
"0","0","179",-209.6,2019/12/24 22:40:45+00,,,,,,,,,,,,,,,,,,,,,
"0","0","180",-209.6,2019/12/24 22:40:46+00,,,,,,,,,,,,,,,,,,,,,
"0","0","181",-208.6,2019/12/24 22:40:49+00,,,,,,,,,,,,,,,,,,,,,
"0","0","182",-207.6,2019/12/24 22:40:51+00,,,,,,,,,,,,,,,,,,,,,
"0","0","183",-207.4,2019/12/24 22:40:52+00,,,,,,,,,,,,,,,,,,,,,
"0","0","184",-207.6,2019/12/24 22:40:55+00,,,,,,,,,,,,,,,,,,,,,
"0","0","185",-208.8,2019/12/24 22:40:57+00,,,,,,,,,,,,,,,,,,,,,
"0","0","186",-209.8,2019/12/24 22:40:59+00,,,,,,,,,,,,,,,,,,,,,
"0","0","187",-210,2019/12/24 22:41:00+00,,,,,,,,,,,,,,,,,,,,,
"0","0","188",-210.2,2019/12/24 22:41:03+00,,,,,,,,,,,,,,,,,,,,,
"0","0","189",-209.4,2019/12/24 22:41:08+00,,,,,,,,,,,,,,,,,,,,,
"0","0","190",-209,2019/12/24 22:41:09+00,,,,,,,,,,,,,,,,,,,,,
"0","0","191",-208.6,2019/12/24 22:41:10+00,,,,,,,,,,,,,,,,,,,,,
"0","0","192",-208,2019/12/24 22:41:12+00,,,,,,,,,,,,,,,,,,,,,
"0","0","193",-208.2,2019/12/24 22:41:15+00,,,,,,,,,,,,,,,,,,,,,
"0","0","194",-209.6,2019/12/24 22:41:18+00,,,,,,,,,,,,,,,,,,,,,
"0","0","195",-210.2,2019/12/24 22:41:24+00,,,,,,,,,,,,,,,,,,,,,
"0","0","196",-210,2019/12/24 22:41:28+00,,,,,,,,,,,,,,,,,,,,,
"0","0","197",-209.8,2019/12/24 22:41:30+00,,,,,,,,,,,,,,,,,,,,,
"0","0","198",-209.6,2019/12/24 22:41:31+00,,,,,,,,,,,,,,,,,,,,,
"0","0","199",-208.8,2019/12/24 22:41:34+00,,,,,,,,,,,,,,,,,,,,,
